main_id,ra,dec,sp_type
2MASS J14121476+3053316,213.0615740888,30.89213686566,M7V
SDSS J100444.83+624847.4,151.18682444109,62.813187149600004,M7V
UCAC4 495-004118,42.1609916198775,8.88781191530639,M3
UCAC4 702-020459,42.21703053302417,50.31537297260222,M3
RX J1552.5-3224,238.12499199999996,-32.403744,M3.5
RX J1552.5-3224B,238.12476961185,-32.40377859941,M3
RX J0252.5+2219,43.14660217459,22.32252608959,M0e
StM 286,249.00402232069996,36.50723338432,M6/7
2MASS J14134315+3142236,213.42983374152996,31.70652735222,M3V
2MASS J14123186+3145370,213.13281816752996,31.760274346810004,M3V
2MASS J14115206+3154021,212.96691006221997,31.90058921526,M2V
HD 149758,249.31403560086997,-11.341230844450001,M1III
2MASS J10084372+6331095,152.18220340023,63.51933592684999,M4V
2MASS J14153028+3156591,213.8761944464,31.9497499525,M3V
2MASS J14142244+3154353,213.59348446099,31.90979584565,M3V
2MASS J18385977-3422094,279.749059,-34.36927800000001,M2.75
2MASS J14171328+3207504,214.30531035179996,32.13064372534,M2V
Gaia DR3 6734004907607126784,279.749652196047,-34.3693284127475,M3.5
2MASS J12310366+1501503,187.76528870575999,15.03059666579,M5V
2MASS J14154972+3213487,213.95720052293,32.23023238754999,M2V
UCAC4 525-045554,117.73303567896168,14.824892268061948,M4
V* V339 Car,169.9219075238,-73.39345837614,Me
2MASS J14135814+3158513,213.49224004234998,31.980897480089997,M2V
2MASS J14131860+3151309,213.32748769653,31.858615821580006,M6V
2MASS J10143772+6438146,153.65723162548,64.63741636625,M8V
BD-01  3222,249.33049189600996,-1.84777089608,M6
V* Y Ara,249.77286879179997,-59.80639303896001,M2e
CVSO 444,79.93755170294084,-0.5279840657916666,M3e
2MASS J14152970+3228050,213.8737513537,32.46796655605001,M3V
2MASS J12262723+1424579,186.61350541784998,14.416010448110006,M7V
2MASS J00535409+5001496,13.475419955590002,50.0304125109,M7.5
DENIS J020417.9-394507,31.075133926919996,-39.75174626902,M7.0
2MASS J03100053+0726506,47.50209378165624,7.447360277675279,M7.5
LSR J0455+5252,73.79922694262959,52.87477635210195,M8.0Ve
V* V1915 Sgr,279.08611185892994,-32.48211165667,Me
2MASS J07540541+1603171,118.52232986164834,16.05459391219917,M8
2MASS J09080457+0836459,137.01904386783,8.61276903407,M9V
2MASS J09230296-2300415,140.7623673116434,-23.0115402763623,M8.0
2MASS J11312945-6446032,172.87270789655,-64.76758772278,M8.5
2MASS J12370037+2107445,189.25146041991164,21.129022098669996,M8
SIPS J1241-3153,190.4801814948504,-31.883212738818614,M6.5e
2MASS J13301784+3526440,202.57439758971,35.44556618893,M8
2MASS J13325286+0525255,203.22030147099997,5.42376279961,M9V
2MASS J14472583+5335017,221.85764717395998,53.58378866534,M8
2MASS J14591936+0604535,224.83070636046997,6.081537680029999,M8
DENIS J151233.3-103241,228.13864393774998,-10.544881596389999,M8
2MASS J16462862+3016430,251.61926056477,30.278575951149993,M8V
SDSS J102934.36+642958.5,157.3932404825,64.49958819427,M0V
LP  102-320,268.8892612333954,58.40763992353277,M5.5V
2MASS J21062089-4044519,316.58706517449,-40.74778186426,M6.0
DENIS J222644.3-750342,336.68506550679996,-75.06181473211,M8
2MASS J10293396+6439501,157.39150945539,64.66394268851,M4V
2MASS J12224165+1426294,185.67354755257998,14.441530968970003,M9V
2MASS J14213364+3214511,215.39018288049,32.24754332132001,M5V
UCAC4 464-045127,155.16335833032585,2.6438124053583336,M1
Smethells 32,288.62845749798,-46.91222559736,M4V
UCAC4 623-046334,155.6400430126875,34.419385556935,M3
2MASS J14182441+3206555,214.60174043742,32.11543517454,M2V
V* GH Dra,248.89954593371,61.84682733075001,M0
V* V732 Oph,249.41696021740995,-5.143277702509999,M3e
HD 149809,249.53991446386,-28.204518708069998,M1/2III
2MASS J14184986+3219127,214.70793048923,32.32020894669,M2V
StM 285,249.44483556581,-10.17686856111,M7-
V* YY Sco,249.55449669676997,-28.569382840180005,M7e
PM J10436-0447,160.900118350243,-4.7888541430932,M1.19
HD 149909,249.41622639278,1.57903687012,M2(III)
UCAC4 427-052409,161.05331698652247,-4.735980943305835,M1
2MASS J05360087-0601304,84.0036537446,-6.02510143923,M5.3
2MASS J12274703+1454218,186.94596630089,14.906073711110004,M7V
2MASS J12275689+1500038,186.98706210104,15.001054992759999,M3V
BD+39  3019,249.22594195146002,38.848164283980005,M0
CLS  56,189.00625,35.99166666666667,M
CLS  37,168.2657239642,35.90652522302,M:
CLS  62A,193.507367,32.716856,M
SDSS J142338.00+324806.6,215.90833148721998,32.80185247333001,M4V
2MASS J12262451+1518097,186.60215183445,15.30268411608,M1V
2MASS J06512144+3418125,102.83935334567666,34.30346965388888,M4
PM J21205+3419,320.1461190936461,34.3299188343267,M3.5
2MASS J19275460+4615050,291.97753089609,46.2513958845,M3III
2MASS J14221099+3247371,215.54566951874,32.79344915047,M2V
2MASS J14215558+3248360,215.48162246123997,32.81001885869,M9V
2MASS J14040485+3700112,211.02026719904,37.00309034283,M4V
2MASS J12560850+1629394,194.03546477621,16.494388405439995,M6V
SDSS J140602.29+363617.0,211.50959341714,36.60473742377,M2V
V* MU Her,249.24507678757996,42.74724514693,M2e
2MASS J14164974+3600098,214.20738644105,36.00283238381,M2V
V* EF TrA,250.14198813542998,-68.25156074324,Me
2MASS J10414542+6630024,160.43939518513,66.50056808503,M4V
PM J18133+0751,273.3345427,7.8648598,M4e
2MASS J10533257+6639269,163.38568774264,66.65744381815,M7V
2MASS J10553122+6657358,163.88020433401,66.95991554509,M7V
BD+13  2549,188.54123286364,13.156784797540002,M0
2MASS J10574917+6704079,164.45475013298,67.06884613565,M7V
V* V903 Her,249.40692462434998,22.44487534839,M6
2MASS J11002399+6721504,165.09969138793,67.36389272065,M7V
2MASS J10523327+6706043,163.13852216799,67.10122388394,M6V
HD 181972,290.91415664277,-28.66966706636,M0III
2MASS J11044044+6734371,166.16856635403,67.5769948893,M7V
2MASS J00475841-0024445,11.993478791812498,-0.41246078560472227,M0V
IRAS 16355-2838,249.67332331066,-28.747820110759992,M7.5III
UCAC4 640-048974,214.33119698049,37.86227543704305,M2
V* V866 Ori,84.307909,-6.3037399999999995,M4.4
V* V904 Her,249.45422242059993,27.043835688350004,M2III
CVSO 885,81.67226063091,-1.4699104041500002,M5e
PM J16196+7655,244.91139064896,76.92128741197,M1.5V
V* V4413 Sgr,290.15365044247994,-27.9994176644,M2/3III
SDSS J142006.47+365414.7,215.02698006317996,36.90406179536,M4V
EM* CGHA   17,315.59320513819,47.52665959553,M
LBQS 1225+1333,187.07027714051998,13.277028981140003,M
UCAC4 720-053786,221.44800404963,53.88443619254389,M0
L  171-49,16.0763714683076,-57.685972141004484,M0V
2MASS J11302133+6741478,172.58879583981,67.69668459381,M1V
2MASS J14312829+3707291,217.86786458195,37.12475816757,M5V
CVSO 2084,83.18110397916,-0.8123766433400001,M3e
BD-07   184,17.411572012288794,-7.180304611445447,M2.0V
2MASS J11172509+6733085,169.35456028295,67.55235915334,M2V
V* V905 Her,249.44155619142998,42.52710047995999,M0
WOS 64,249.95668674168002,-46.53306663314,M2
2MASS J14585966+1004557,224.74865842405833,10.082192117942776,M0V
LSPM J1119+6751W,169.89985253044,67.85496072334,M0V
2MASS J14271589+3719117,216.81619267763998,37.319916279,M2V
2MASS J14292735+3717138,217.36431217464,37.28709665186,M7V
2MASS J12335932+1340342,188.49724642668997,13.676145247200001,M5V
2MASS J14285378+3740179,217.22403915157997,37.67170573901,M7V
2MASS J14293883+3744599,217.4119825291,37.74998744732,M6V
