pl_name,pl_orbsmax,pl_orbeccen,pl_bmassj,pl_rade,hostname,st_teff,st_rad,st_mass
"Kepler-457 d",0.0996000000,0.000000,0.02890000,2.98467257,"KOI-7892",6474.00,1.242000,1.148000
"Kepler-868 b",0.0575000000,0.000000,0.01530000,2.05000000,"Kepler-868",5614.00,0.890000,0.930000
"TOI-7510 b",0.1019000000,0.057200,0.05710000,7.31000000,"TOI-7510",5720.00,1.035000,1.063000
"Kepler-355 c",0.1790000000,0.000000,0.02450000,2.71000000,"Kepler-355",6184.00,1.066000,0.933000
"Kepler-1299 b",0.1357000000,0.000000,0.02880000,2.98000000,"Kepler-1299",5609.00,0.910000,0.940000
"Kepler-381 d",0.0836400000,0.000000,0.00386000,1.06678650,"Kepler-381",6197.00,2.188000,1.198000
"Kepler-1806 b",0.0813000000,0.000000,0.01930000,2.35560189,"Kepler-1806",5311.00,0.788000,0.884000
"Kepler-1570 b",0.1669900000,0.000000,0.00390000,1.07000000,"Kepler-1570",5550.00,0.890000,0.920000
"Kepler-232 c",0.1010000000,0.000000,0.04420000,3.83000000,"Kepler-232",5847.00,0.968000,0.970000
"KIC 5479689 b",,,0.50000000,14.20000000,"KIC 5479689",5459.10,0.894000,0.966000
"Kepler-1759 b",0.0429000000,0.000000,0.00213000,0.90377910,"Kepler-1759",5017.00,0.797000,0.760000
"Kepler-225 c",0.1110000000,0.000000,0.01270000,1.84000000,"Kepler-225",3682.00,0.480000,0.593000
"Kepler-833 b",0.1139000000,0.000000,0.01490000,2.02000000,"Kepler-833",4339.00,0.620000,0.640000
"Kepler-321 b",0.0570000000,0.000000,0.01190000,1.77000000,"Kepler-321",5740.00,1.194000,1.024000
"Kepler-973 b",0.2489000000,0.000000,0.01420000,1.96000000,"Kepler-973",5213.00,0.780000,0.860000
"Kepler-243 b",0.0620000000,0.000000,0.02070000,2.45000000,"Kepler-243",5228.00,0.842000,0.904000
"Kepler-308 b",0.0900000000,0.000000,0.01620000,2.12000000,"Kepler-308",5895.00,0.941000,0.920000
"HD 97037 b",6.9250000000,0.357000,21.10500000,12.10000000,"HD 97037",5874.10,1.263560,1.060000
"Kepler-776 b",0.0523000000,0.000000,0.00687000,1.28000000,"Kepler-776",5071.00,0.780000,0.830000
"DMPP-2 b",0.0664000000,0.078000,0.43700000,14.30000000,"DMPP-2",6500.00,1.780000,1.440000
"Kepler-1226 b",0.1394500000,0.000000,0.00849000,1.45000000,"Kepler-1226",5923.00,1.020000,1.020000
